Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
5/7/17,Cobblestone,5995,CT,16,13,3,0,5991,T,8,2,6,0,2310296/g2-vs-envyus-dreamhack-open-tours-2017
5/7/17,Nuke,7567,T,16,10,6,0,6715,CT,10,5,5,0,2308827/boot-ds-vs-mineski-beyondgodlike-csgo-sea-pro-league
5/7/17,Overpass,7567,CT,16,13,3,0,6715,T,2,2,0,0,2308827/boot-ds-vs-mineski-beyondgodlike-csgo-sea-pro-league
5/7/17,Mirage,7557,CT,22,8,7,7,7175,T,19,7,8,4,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Nuke,7557,CT,4,4,0,0,7175,T,16,11,5,0,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Train,7557,CT,16,9,7,0,7175,T,12,6,6,0,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Mirage,6899,T,12,9,3,0,7372,CT,16,6,10,0,2310463/lgd-vs-zdm-wca-2017-china-qualifier
5/7/17,Cobblestone,6899,T,11,6,5,0,7372,CT,16,9,7,0,2310463/lgd-vs-zdm-wca-2017-china-qualifier
5/7/17,Cobblestone,7010,T,16,11,5,0,6290,CT,8,4,4,0,2310383/immortals-vs-luminosity-esports-arena-showdown-championship
5/7/17,Train,7010,T,16,11,5,0,6290,CT,4,4,0,0,2310383/immortals-vs-luminosity-esports-arena-showdown-championship
5/7/17,Inferno,6058,T,11,8,3,0,7566,CT,16,7,9,0,2310399/caz-vs-playing-ducks-cevo-main-season-12-europe
5/7/17,Mirage,6058,CT,8,2,6,0,7566,T,16,13,3,0,2310399/caz-vs-playing-ducks-cevo-main-season-12-europe
5/7/17,Cache,7716,T,16,12,4,0,6899,CT,3,3,0,0,2310464/uya-vs-lgd-wca-2017-china-qualifier
5/7/17,Train,7716,T,16,7,9,0,6899,CT,14,8,6,0,2310464/uya-vs-lgd-wca-2017-china-qualifier
5/7/17,Overpass,5153,T,16,12,4,0,5154,CT,3,3,0,0,2310459/energy-vs-damage-control-mettlestate-galaxy-csgo-championship-2017
5/7/17,Inferno,5153,CT,16,12,4,0,5154,T,7,3,4,0,2310459/energy-vs-damage-control-mettlestate-galaxy-csgo-championship-2017
5/7/17,Train,6137,CT,16,12,4,0,6667,T,12,3,9,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Cache,6137,T,16,11,5,0,6667,CT,7,4,3,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Inferno,6137,CT,13,5,8,0,6667,T,16,10,6,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Overpass,6137,T,16,6,10,0,6667,CT,11,9,2,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Train,5929,T,16,14,2,0,6964,CT,1,1,0,0,2310448/space-soldiers-vs-exotic-island-4gamers-csgo-masters
5/7/17,Inferno,5929,T,16,14,2,0,6964,CT,1,1,0,0,2310448/space-soldiers-vs-exotic-island-4gamers-csgo-masters
5/7/17,Mirage,7187,CT,16,8,8,0,6669,T,14,7,7,0,2310466/nexus-vs-binary-dragons-arcanebet-balkan-proleague-season-2
5/7/17,Mirage,7024,T,16,7,9,0,6573,CT,13,8,5,0,2310420/ehome-vs-wings-csgo-super-league-2017-spring-season
5/7/17,Nuke,6908,T,9,4,5,0,7611,CT,16,11,5,0,2310421/five-vs-vgrenascence-csgo-super-league-2017-spring-season
5/7/17,Inferno,6669,T,11,6,5,0,7187,CT,16,9,7,0,2310465/binary-dragons-vs-nexus-arcanebet-balkan-proleague-season-2
5/7/17,Cobblestone,5158,T,16,9,7,0,5154,CT,7,6,1,0,2310440/bravado-vs-damage-control-mettlestate-galaxy-csgo-championship-2017
5/7/17,Cache,7890,CT,6,3,3,0,7891,T,16,12,4,0,2310475/team-uk-vs-team-australia-showmatch-csgo
5/7/17,Cache,7868,T,16,9,7,0,7872,CT,8,6,2,0,2310424/zero-respect-vs-aryo-pc-coolers-league-csgo
5/7/17,Cache,7497,T,19,11,4,4,6762,CT,15,4,11,0,2310457/resistance-vs-bpro-esl-south-east-europe-championship-season-5
5/7/17,Cobblestone,7497,T,5,1,4,0,6762,CT,16,14,2,0,2310457/resistance-vs-bpro-esl-south-east-europe-championship-season-5
5/7/17,Overpass,7497,CT,13,7,6,0,6762,T,16,8,8,0,2310457/resistance-vs-bpro-esl-south-east-europe-championship-season-5
5/7/17,Train,7658,CT,10,6,4,0,7841,T,16,9,7,0,2310496/top-gun-vs-monstars-esports-arena-showdown-championship
5/7/17,Overpass,7658,T,12,8,4,0,7841,CT,16,7,9,0,2310496/top-gun-vs-monstars-esports-arena-showdown-championship
5/7/17,Cache,7187,CT,16,11,5,0,7870,T,5,4,1,0,2310425/nexus-vs-invictus-aquilas-pc-coolers-league-csgo
5/7/17,Cobblestone,7187,CT,16,10,6,0,7870,T,9,5,4,0,2310425/nexus-vs-invictus-aquilas-pc-coolers-league-csgo
5/7/17,Cobblestone,4602,CT,11,6,5,0,5995,T,16,9,7,0,2310298/tricked-vs-g2-dreamhack-open-tours-2017
5/7/17,Train,4602,T,9,7,2,0,5995,CT,16,8,8,0,2310298/tricked-vs-g2-dreamhack-open-tours-2017
5/7/17,Cobblestone,7615,CT,16,9,7,0,7187,T,13,6,7,0,2310456/hop-vs-nexus-esl-south-east-europe-championship-season-5
5/7/17,Train,7615,CT,17,7,8,2,7187,T,19,8,7,4,2310456/hop-vs-nexus-esl-south-east-europe-championship-season-5
5/7/17,Inferno,7615,CT,16,6,10,0,7187,T,14,9,5,0,2310456/hop-vs-nexus-esl-south-east-europe-championship-season-5
5/7/17,Overpass,5524,T,6,5,1,0,4469,CT,16,10,6,0,2310449/alientech-vs-k1ck-4gamers-csgo-masters
5/7/17,Cobblestone,5524,T,6,5,1,0,4469,CT,16,10,6,0,2310449/alientech-vs-k1ck-4gamers-csgo-masters
5/7/17,Inferno,6662,T,2,2,0,0,7669,CT,16,13,3,0,2310455/vatos-locos-vs-squared-esl-south-east-europe-championship-season-5
5/7/17,Train,6662,T,12,2,10,0,7669,CT,16,13,3,0,2310455/vatos-locos-vs-squared-esl-south-east-europe-championship-season-5
5/7/17,Cache,5929,T,16,12,4,0,4469,CT,13,3,10,0,2310476/space-soldiers-vs-k1ck-4gamers-csgo-masters
5/7/17,Mirage,5929,CT,16,6,10,0,4469,T,11,9,2,0,2310476/space-soldiers-vs-k1ck-4gamers-csgo-masters
5/7/17,Cobblestone,7344,T,16,12,4,0,7274,CT,3,3,0,0,2308828/recca-vs-sabertooth-beyondgodlike-csgo-sea-pro-league
5/7/17,Mirage,7344,CT,16,14,2,0,7274,T,7,1,6,0,2308828/recca-vs-sabertooth-beyondgodlike-csgo-sea-pro-league
5/7/17,Default,5158,T,16,10,6,0,5153,CT,5,5,0,0,2310460/bravado-vs-energy-mettlestate-galaxy-csgo-championship-2017
5/7/17,Cache,5158,CT,16,12,4,0,5153,T,9,3,6,0,2310460/bravado-vs-energy-mettlestate-galaxy-csgo-championship-2017
5/7/17,Train,7397,T,16,12,4,0,7331,CT,4,3,1,0,2310429/outlaws-vs-igamecom-binary-dragons-csgopolygon-cup-6
5/7/17,Mirage,7397,CT,16,11,5,0,7331,T,6,4,2,0,2310429/outlaws-vs-igamecom-binary-dragons-csgopolygon-cup-6
5/7/17,Train,6290,CT,16,13,3,0,7841,T,2,2,0,0,2310382/luminosity-vs-monstars-esports-arena-showdown-championship
5/7/17,Mirage,6290,CT,16,12,4,0,7841,T,9,3,6,0,2310382/luminosity-vs-monstars-esports-arena-showdown-championship
5/7/17,Inferno,7528,CT,12,8,4,0,7372,T,16,7,9,0,2310462/hegemonyperson-vs-zdm-wca-2017-china-qualifier
5/7/17,Cache,7528,T,9,3,6,0,7372,CT,16,12,4,0,2310462/hegemonyperson-vs-zdm-wca-2017-china-qualifier
5/7/17,Default,7841,T,16,11,5,0,4643,CT,10,4,6,0,2310379/monstars-vs-denial-esports-arena-showdown-championship
5/7/17,Inferno,7841,CT,16,8,8,0,4643,T,8,7,1,0,2310379/monstars-vs-denial-esports-arena-showdown-championship
5/7/17,Cobblestone,4608,CT,16,11,5,0,7557,T,7,4,3,0,2310297/natus-vincere-vs-misfits-dreamhack-open-tours-2017
5/7/17,Train,4608,T,9,1,8,0,7557,CT,16,14,2,0,2310297/natus-vincere-vs-misfits-dreamhack-open-tours-2017
5/7/17,Mirage,4608,CT,4,4,0,0,7557,T,16,11,5,0,2310297/natus-vincere-vs-misfits-dreamhack-open-tours-2017
5/7/17,Inferno,7726,CT,25,8,7,10,7658,T,21,7,8,6,2310380/swole-patrol-vs-top-gun-esports-arena-showdown-championship
5/7/17,Cache,7726,CT,12,9,3,0,7658,T,16,6,10,0,2310380/swole-patrol-vs-top-gun-esports-arena-showdown-championship
5/7/17,Overpass,7726,CT,12,7,5,0,7658,T,16,8,8,0,2310380/swole-patrol-vs-top-gun-esports-arena-showdown-championship
5/7/17,Cobblestone,7869,CT,8,5,3,0,7864,T,16,10,6,0,2310458/shanghai-emperors-vs-ttfu-esl-south-east-europe-championship-season-5
5/7/17,Inferno,7869,CT,22,10,5,7,7864,T,20,5,10,5,2310458/shanghai-emperors-vs-ttfu-esl-south-east-europe-championship-season-5
5/7/17,Mirage,7869,CT,16,8,7,1,7864,T,19,7,8,4,2310458/shanghai-emperors-vs-ttfu-esl-south-east-europe-championship-season-5
5/7/17,Inferno,7010,T,16,11,5,0,7658,CT,11,4,7,0,2310381/immortals-vs-top-gun-esports-arena-showdown-championship
5/7/17,Mirage,7010,CT,16,11,5,0,7658,T,13,4,9,0,2310381/immortals-vs-top-gun-esports-arena-showdown-championship
5/7/17,Inferno,5995,CT,16,11,5,0,5991,T,10,4,6,0,2310296/g2-vs-envyus-dreamhack-open-tours-2017
5/7/17,Cobblestone,5995,CT,16,13,3,0,5991,T,8,2,6,0,2310296/g2-vs-envyus-dreamhack-open-tours-2017
5/7/17,Nuke,7567,T,16,10,6,0,6715,CT,10,5,5,0,2308827/boot-ds-vs-mineski-beyondgodlike-csgo-sea-pro-league
5/7/17,Overpass,7567,CT,16,13,3,0,6715,T,2,2,0,0,2308827/boot-ds-vs-mineski-beyondgodlike-csgo-sea-pro-league
5/7/17,Mirage,7557,CT,22,8,7,7,7175,T,19,7,8,4,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Nuke,7557,CT,4,4,0,0,7175,T,16,11,5,0,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Train,7557,CT,16,9,7,0,7175,T,12,6,6,0,2310295/misfits-vs-heroic-dreamhack-open-tours-2017
5/7/17,Mirage,6899,T,12,9,3,0,7372,CT,16,6,10,0,2310463/lgd-vs-zdm-wca-2017-china-qualifier
5/7/17,Cobblestone,6899,T,11,6,5,0,7372,CT,16,9,7,0,2310463/lgd-vs-zdm-wca-2017-china-qualifier
5/7/17,Cobblestone,7010,T,16,11,5,0,6290,CT,8,4,4,0,2310383/immortals-vs-luminosity-esports-arena-showdown-championship
5/7/17,Train,7010,T,16,11,5,0,6290,CT,4,4,0,0,2310383/immortals-vs-luminosity-esports-arena-showdown-championship
5/7/17,Inferno,6058,T,11,8,3,0,7566,CT,16,7,9,0,2310399/caz-vs-playing-ducks-cevo-main-season-12-europe
5/7/17,Mirage,6058,CT,8,2,6,0,7566,T,16,13,3,0,2310399/caz-vs-playing-ducks-cevo-main-season-12-europe
5/7/17,Cache,7716,T,16,12,4,0,6899,CT,3,3,0,0,2310464/uya-vs-lgd-wca-2017-china-qualifier
5/7/17,Train,7716,T,16,7,9,0,6899,CT,14,8,6,0,2310464/uya-vs-lgd-wca-2017-china-qualifier
5/7/17,Overpass,5153,T,16,12,4,0,5154,CT,3,3,0,0,2310459/energy-vs-damage-control-mettlestate-galaxy-csgo-championship-2017
5/7/17,Inferno,5153,CT,16,12,4,0,5154,T,7,3,4,0,2310459/energy-vs-damage-control-mettlestate-galaxy-csgo-championship-2017
5/7/17,Train,6137,CT,16,12,4,0,6667,T,12,3,9,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Cache,6137,T,16,11,5,0,6667,CT,7,4,3,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Inferno,6137,CT,13,5,8,0,6667,T,16,10,6,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Overpass,6137,T,16,6,10,0,6667,CT,11,9,2,0,2310246/sk-vs-faze-iem-sydney-2017
5/7/17,Train,5929,T,16,14,2,0,6964,CT,1,1,0,0,2310448/space-soldiers-vs-exotic-island-4gamers-csgo-masters
5/7/17,Inferno,5929,T,16,14,2,0,6964,CT,1,1,0,0,2310448/space-soldiers-vs-exotic-island-4gamers-csgo-masters
5/8/17,Cobblestone,7615,CT,19,4,11,4,7187,T,16,11,4,1,2310468/hop-vs-nexus-arcanebet-balkan-proleague-season-2
5/8/17,Mirage,7607,CT,3,3,0,0,6669,T,16,12,4,0,2310481/saltbae-vs-binary-dragons-arcanebet-balkan-proleague-season-2
5/8/17,Nuke,6669,T,16,12,4,0,7607,CT,12,3,9,0,2310480/binary-dragons-vs-saltbae-arcanebet-balkan-proleague-season-2
5/8/17,Inferno,7187,CT,12,9,3,0,7615,T,16,6,10,0,2310469/nexus-vs-hop-arcanebet-balkan-proleague-season-2
5/8/17,Cobblestone,7615,CT,7,4,3,0,7673,T,16,11,5,0,2310482/hop-vs-sensei-arcanebet-balkan-proleague-season-2
5/8/17,Default,7367,CT,7,4,3,0,5847,T,16,11,5,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Overpass,7367,CT,8,3,5,0,5847,T,16,12,4,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Mirage,7367,CT,16,9,7,0,5847,T,11,6,5,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Inferno,7367,CT,14,5,9,0,5847,T,16,10,6,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Train,7339,T,16,7,9,0,7638,CT,13,8,5,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Cache,7339,CT,11,5,6,0,7638,T,16,10,6,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Mirage,7339,T,3,2,1,0,7638,CT,16,13,3,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Cache,7528,CT,16,6,10,0,6899,T,11,9,2,0,2310477/hegemonyperson-vs-lgd-wca-2017-china-qualifier
5/8/17,Mirage,7528,T,2,2,0,0,6899,CT,16,13,3,0,2310477/hegemonyperson-vs-lgd-wca-2017-china-qualifier
5/8/17,Cobblestone,4863,T,16,13,3,0,7372,CT,8,2,6,0,2310478/tyloo-vs-zdm-wca-2017-china-qualifier
5/8/17,Cache,4863,CT,16,6,10,0,7372,T,12,9,3,0,2310478/tyloo-vs-zdm-wca-2017-china-qualifier
5/8/17,Cache,5310,T,6,3,3,0,5995,CT,16,12,4,0,2310301/hellraisers-vs-g2-dreamhack-open-tours-2017
5/8/17,Cobblestone,5310,CT,14,10,4,0,5995,T,16,5,11,0,2310301/hellraisers-vs-g2-dreamhack-open-tours-2017
5/8/17,Cache,7683,CT,16,5,11,0,7687,T,12,10,2,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Cobblestone,7683,CT,8,7,1,0,7687,T,16,8,8,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Train,7683,CT,16,12,4,0,7687,T,10,3,7,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Mirage,4949,T,9,5,4,0,4682,CT,16,10,6,0,2310397/giants-vs-rctic-cevo-main-season-12-europe
5/8/17,Nuke,4949,CT,7,6,1,0,4682,T,16,9,7,0,2310397/giants-vs-rctic-cevo-main-season-12-europe
5/8/17,Cobblestone,5310,CT,16,7,9,0,7557,T,14,8,6,0,2310300/hellraisers-vs-misfits-dreamhack-open-tours-2017
5/8/17,Cache,5310,T,16,9,7,0,7557,CT,7,6,1,0,2310300/hellraisers-vs-misfits-dreamhack-open-tours-2017
5/8/17,Overpass,4494,CT,8,7,1,0,5995,T,16,8,8,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/8/17,Cache,4494,CT,16,5,11,0,5995,T,14,10,4,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/8/17,Cobblestone,4494,CT,6,4,2,0,5995,T,16,11,5,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/8/17,Cobblestone,7615,CT,19,4,11,4,7187,T,16,11,4,1,2310468/hop-vs-nexus-arcanebet-balkan-proleague-season-2
5/8/17,Mirage,7607,CT,3,3,0,0,6669,T,16,12,4,0,2310481/saltbae-vs-binary-dragons-arcanebet-balkan-proleague-season-2
5/8/17,Nuke,6669,T,16,12,4,0,7607,CT,12,3,9,0,2310480/binary-dragons-vs-saltbae-arcanebet-balkan-proleague-season-2
5/8/17,Inferno,7187,CT,12,9,3,0,7615,T,16,6,10,0,2310469/nexus-vs-hop-arcanebet-balkan-proleague-season-2
5/8/17,Cobblestone,7615,CT,7,4,3,0,7673,T,16,11,5,0,2310482/hop-vs-sensei-arcanebet-balkan-proleague-season-2
5/8/17,Default,7367,CT,7,4,3,0,5847,T,16,11,5,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Overpass,7367,CT,8,3,5,0,5847,T,16,12,4,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Mirage,7367,CT,16,9,7,0,5847,T,11,6,5,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Inferno,7367,CT,14,5,9,0,5847,T,16,10,6,0,2310479/quantum-bellator-fire-vs-acg-lootbet-cup-1
5/8/17,Train,7339,T,16,7,9,0,7638,CT,13,8,5,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Cache,7339,CT,11,5,6,0,7638,T,16,10,6,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Mirage,7339,T,3,2,1,0,7638,CT,16,13,3,0,2310355/kpi-vs-chrome-cevo-main-season-12-europe
5/8/17,Cache,7528,CT,16,6,10,0,6899,T,11,9,2,0,2310477/hegemonyperson-vs-lgd-wca-2017-china-qualifier
5/8/17,Mirage,7528,T,2,2,0,0,6899,CT,16,13,3,0,2310477/hegemonyperson-vs-lgd-wca-2017-china-qualifier
5/8/17,Cobblestone,4863,T,16,13,3,0,7372,CT,8,2,6,0,2310478/tyloo-vs-zdm-wca-2017-china-qualifier
5/8/17,Cache,4863,CT,16,6,10,0,7372,T,12,9,3,0,2310478/tyloo-vs-zdm-wca-2017-china-qualifier
5/8/17,Cache,5310,T,6,3,3,0,5995,CT,16,12,4,0,2310301/hellraisers-vs-g2-dreamhack-open-tours-2017
5/8/17,Cobblestone,5310,CT,14,10,4,0,5995,T,16,5,11,0,2310301/hellraisers-vs-g2-dreamhack-open-tours-2017
5/8/17,Cache,7683,CT,16,5,11,0,7687,T,12,10,2,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Cobblestone,7683,CT,8,7,1,0,7687,T,16,8,8,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Train,7683,CT,16,12,4,0,7687,T,10,3,7,0,2310400/g2v-vs-oserv-cevo-main-season-12-europe
5/8/17,Mirage,4949,T,9,5,4,0,4682,CT,16,10,6,0,2310397/giants-vs-rctic-cevo-main-season-12-europe
5/8/17,Nuke,4949,CT,7,6,1,0,4682,T,16,9,7,0,2310397/giants-vs-rctic-cevo-main-season-12-europe
5/8/17,Cobblestone,5310,CT,16,7,9,0,7557,T,14,8,6,0,2310300/hellraisers-vs-misfits-dreamhack-open-tours-2017
5/8/17,Cache,5310,T,16,9,7,0,7557,CT,7,6,1,0,2310300/hellraisers-vs-misfits-dreamhack-open-tours-2017
5/8/17,Overpass,4494,CT,8,7,1,0,5995,T,16,8,8,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/8/17,Cache,4494,CT,16,5,11,0,5995,T,14,10,4,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/8/17,Cobblestone,4494,CT,6,4,2,0,5995,T,16,11,5,0,2310299/mousesports-vs-g2-dreamhack-open-tours-2017
5/9/17,Train,6290,T,16,6,10,0,7010,CT,9,9,0,0,2310562/luminosity-vs-immortals-ecs-season-3-north-america
5/9/17,Cache,7856,T,16,9,7,0,7865,CT,13,6,7,0,2310608/envyus-academy-vs-havu-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Nuke,5991,CT,16,6,10,0,4674,T,10,9,1,0,2310520/envyus-vs-ldlc-esl-pro-league-season-5-europe
5/9/17,Cache,6758,CT,4,4,0,0,5422,T,16,11,5,0,2310609/team123-vs-dignitas-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Cache,6902,CT,16,5,11,0,5378,T,13,10,3,0,2310487/godsent-vs-virtuspro-ecs-season-3-europe
5/9/17,Inferno,4674,CT,12,8,4,0,5991,T,16,7,9,0,2310519/ldlc-vs-envyus-esl-pro-league-season-5-europe
5/9/17,Cache,5679,T,16,10,6,0,7901,CT,10,5,5,0,2310606/esg-vs-klappskaft-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Inferno,4501,CT,16,5,11,0,5061,T,11,10,1,0,2310603/alternate-attax-vs-midlertidig-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Nuke,5260,T,16,9,7,0,5195,CT,14,6,8,0,2310605/maxisaucisse-vs-planetkey-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Train,7835,CT,16,8,8,0,7367,T,7,7,0,0,2310498/impossible-vs-quantum-bellator-fire-streamme-gauntlet-cis-vs-eu-5
5/9/17,Train,5378,CT,16,11,5,0,6902,T,11,4,7,0,2310486/virtuspro-vs-godsent-ecs-season-3-europe
5/9/17,Cache,7010,T,13,4,9,0,6290,CT,16,11,5,0,2310561/immortals-vs-luminosity-ecs-season-3-north-america
5/9/17,Mirage,4865,T,16,7,9,0,7606,CT,13,8,5,0,2310503/new4-vs-vici-csgo-super-league-2017-spring-season
5/9/17,Nuke,4411,CT,9,6,3,0,5991,T,16,9,7,0,2310484/nip-vs-envyus-ecs-season-3-europe
5/9/17,Mirage,7182,T,19,5,10,4,7264,CT,22,10,5,7,2310497/zarlans-vs-spraynpray-streamme-gauntlet-cis-vs-eu-5
5/9/17,Overpass,4468,CT,10,2,8,0,7397,T,16,13,3,0,2310610/x6tence-vs-outlaws-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Train,7903,CT,2,2,0,0,7124,T,16,13,3,0,2310607/hshc-vs-passions-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Overpass,7902,T,4,4,0,0,7668,CT,16,11,5,0,2310604/robin-hood-vs-wasd-europe-minor-qualifier-3-pgl-major-krakow-2017
5/9/17,Nuke,5991,CT,13,8,5,0,4411,T,16,7,9,0,2310485/envyus-vs-nip-ecs-season-3-europe
5/9/17,Mirage,6899,T,16,11,5,0,7528,CT,14,4,10,0,2310417/lgd-vs-hegemonyperson-csgo-super-league-2017-spring-season
5/9/17,Cache,6762,T,14,8,6,0,7584,CT,16,7,9,0,2310398/bpro-vs-tortues-ninja-cevo-main-season-12-europe
5/9/17,Cobblestone,6762,CT,16,4,12,0,7584,T,13,11,2,0,2310398/bpro-vs-tortues-ninja-cevo-main-season-12-europe
5/9/17,Train,6762,T,16,3,13,0,7584,CT,13,12,1,0,2310398/bpro-vs-tortues-ninja-cevo-main-season-12-europe
5/9/17,Cobblestone,7497,T,16,8,8,0,7870,CT,12,7,5,0,2310575/resistance-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
5/9/17,Overpass,7497,T,6,3,3,0,7870,CT,16,12,4,0,2310575/resistance-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
5/9/17,Inferno,7497,CT,10,6,4,0,7870,T,16,9,7,0,2310575/resistance-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
5/9/17,Default,7897,T,16,11,5,0,7785,CT,8,4,4,0,2310597/ex-manatee-vs-fury-the-adria-masters-season-1
5/9/17,Mirage,7897,CT,16,10,6,0,7785,T,8,5,3,0,2310597/ex-manatee-vs-fury-the-adria-masters-season-1
